//X,Y,Z,Scalar field
473980.03999329,5370968.46997070,108.80000305,1.000000
473980.58000183,5370968.14001465,109.56999969,1.000000
473981.00999451,5370967.82000732,109.69000244,1.000000
473981.38000488,5370967.51000977,109.48999786,1.000000
473981.66999817,5370967.19000244,108.73000336,1.000000
473982.27999878,5370966.85998535,109.97000122,1.000000
473982.72000122,5370966.53997803,110.16000366,1.000000
473983.00999451,5370966.22998047,109.44000244,1.000000
473983.22000122,5370965.91998291,108.22000122,1.000000
473983.88000488,5370965.58001709,109.72000122,1.000000
473984.33999634,5370965.26000977,110.05000305,1.000000
473984.55000305,5370964.95001221,108.84999847,1.000000
473985.02999878,5370964.63000488,109.25000000,1.000000
473983.22999573,5370964.38000488,109.94999695,1.000000
473982.58000183,5370964.71997070,108.45999908,1.000000
473982.33000183,5370965.03002930,109.45999908,1.000000
473982.22000122,5370965.34002686,111.41999817,1.000000
473981.74000549,5370965.66998291,111.01999664,1.000000
473981.21000671,5370966.00000000,110.33999634,1.000000
473980.60000610,5370966.34002686,109.23000336,1.000000
473980.02999878,5370966.67999268,108.37000275,1.000000
473979.55000305,5370967.01000977,107.98999786,1.000000
473979.05000305,5370967.34002686,107.55000305,1.000000
473978.57000732,5370967.66998291,107.19999695,1.000000
473978.17999268,5370968.00000000,107.45999908,1.000000
473977.61999512,5370968.34002686,106.68000031,1.000000
473977.10000610,5370968.67999268,106.02999878,1.000000
473976.63000488,5370969.01000977,105.83999634,1.000000
473976.22000122,5370969.34002686,105.90000153,1.000000
473975.75999451,5370969.66998291,105.66000366,1.000000
473975.30999756,5370970.00000000,105.55999756,1.000000
473974.85000610,5370970.33001709,105.34999847,1.000000
473974.52999878,5370970.65002441,105.87000275,1.000000
473974.08000183,5370970.97998047,105.73000336,1.000000
473973.82000732,5370971.28002930,106.62000275,1.000000
473973.49000549,5370971.59997559,107.16999817,1.000000
473973.03999329,5370971.92999268,106.98000336,1.000000
473972.53999329,5370972.26000977,106.44999695,1.000000
473971.97999573,5370972.59997559,105.69000244,1.000000
473971.64999390,5370972.91998291,106.18000031,1.000000
473971.27999878,5370973.22998047,106.41999817,1.000000
473970.75999451,5370973.57000732,105.87999725,1.000000
473970.41999817,5370973.89001465,106.33999634,1.000000
473969.86999512,5370974.21997070,105.59999847,1.000000
473968.67999268,5370974.21997070,105.01999664,1.000000
473969.75999451,5370973.83001709,108.91999817,1.000000
473968.91000366,5370973.92999268,104.11000061,2.000000
473969.71000671,5370973.57000732,106.37999725,1.000000
473970.17999268,5370973.26000977,106.81999969,1.000000
473970.44999695,5370972.96002197,106.13999939,1.000000
473970.82000732,5370972.65997314,105.95999908,1.000000
473971.14999390,5370972.34997559,105.58999634,1.000000
473971.61000061,5370972.03997803,105.98999786,1.000000
473971.97000122,5370971.72998047,105.70999908,1.000000
473972.41000366,5370971.40997314,105.94000244,1.000000
473972.82000732,5370971.09997559,105.98000336,1.000000
473973.24000549,5370970.77001953,106.08000183,1.000000
473973.55000305,5370970.46997070,105.52999878,1.000000
473973.92999268,5370970.15002441,105.29000092,1.000000
473974.36000061,5370969.82000732,105.37999725,1.000000
473974.77000427,5370969.50000000,105.38999939,1.000000
473975.22000122,5370969.16998291,105.56999969,1.000000
473975.63999939,5370968.84002686,105.59999847,1.000000
473976.08999634,5370968.52001953,105.86000061,1.000000
473976.50999451,5370968.19000244,105.83000183,1.000000
473976.96000671,5370967.86999512,106.08000183,1.000000
473977.41000366,5370967.54998779,106.33999634,1.000000
473977.97999573,5370967.21997070,107.30000305,1.000000
473978.47999573,5370966.90002441,107.86000061,1.000000
473978.86000061,5370966.58001709,107.68000031,1.000000
473979.30999756,5370966.26000977,107.94999695,1.000000
473979.72000122,5370965.94000244,107.98999786,1.000000
473980.11000061,5370965.61999512,107.87999725,1.000000
473980.78999329,5370965.28997803,109.54000092,1.000000
473981.21000671,5370964.97998047,109.69999695,1.000000
473981.69999695,5370964.65002441,110.19000244,1.000000
473982.10000610,5370964.34002686,110.12999725,1.000000
473979.47999573,5370964.48999023,109.26000214,1.000000
473978.82000732,5370964.83001709,107.81999969,1.000000
473978.38000488,5370965.15997314,107.69999695,1.000000
473977.91000366,5370965.48999023,107.37999725,1.000000
473977.38999939,5370965.80999756,106.76999664,1.000000
473976.86000061,5370966.15002441,106.12000275,1.000000
473976.41000366,5370966.47998047,105.97000122,1.000000
473975.97000122,5370966.80999756,105.83999634,1.000000
473975.52999878,5370967.14001465,105.76000214,1.000000
473975.08000183,5370967.46002197,105.56999969,1.000000
473974.66000366,5370967.78997803,105.56999969,1.000000
473974.19000244,5370968.11999512,105.30000305,2.000000
473973.97000122,5370968.42999268,106.44999695,1.000000
473973.55000305,5370968.75000000,106.41000366,1.000000
473973.11000061,5370969.08001709,106.30999756,1.000000
473972.74000549,5370969.40002441,106.58000183,1.000000
473972.30000305,5370969.71997070,106.47000122,1.000000
473971.78999329,5370970.05999756,105.94000244,1.000000
473971.39999390,5370970.38000488,106.08999634,1.000000
473970.89999390,5370970.71002197,105.63999939,1.000000
473970.44999695,5370971.03997803,105.48000336,1.000000
473969.97999573,5370971.36999512,105.16999817,1.000000
473969.71000671,5370971.67999268,106.08000183,1.000000
473969.38999939,5370972.00000000,106.63999939,1.000000
473968.92999268,5370972.33001709,106.38999939,1.000000
473968.24000549,5370972.69000244,104.95999908,1.000000
473967.78999329,5370973.02001953,104.80999756,1.000000
473967.55999756,5370973.33001709,105.87999725,1.000000
473967.21000671,5370973.65002441,106.30000305,1.000000
473966.85000610,5370973.96997070,106.68000031,1.000000
473966.55999756,5370974.28002930,107.37000275,1.000000
473965.44000244,5370974.21002197,106.70999908,1.000000
473964.75999451,5370974.29998779,102.98000336,2.000000
473965.67999268,5370973.91998291,105.83999634,1.000000
473966.25000000,5370973.58001709,106.73000336,1.000000
473965.57000732,5370973.65997314,102.91999817,2.000000
473966.44999695,5370973.28997803,105.55000305,1.000000
473966.78999329,5370972.97998047,105.19999695,1.000000
473967.39999390,5370972.64001465,106.37000275,1.000000
473967.55000305,5370972.34997559,104.93000031,1.000000
473968.02999878,5370972.03002930,105.40000153,1.000000
473968.63000488,5370971.69000244,106.51000214,1.000000
473969.05000305,5370971.38000488,106.62999725,1.000000
473969.19999695,5370971.09002686,105.16000366,1.000000
473969.67999268,5370970.77001953,105.61000061,1.000000
473970.03999329,5370970.46002197,105.44000244,1.000000
473970.47999573,5370970.14001465,105.59999847,1.000000
473970.83000183,5370969.83001709,105.27999878,1.000000
473971.32000732,5370969.51000977,105.80999756,1.000000
473971.75999451,5370969.19000244,106.01000214,1.000000
473972.21000671,5370968.86999512,106.30000305,1.000000
473972.63999939,5370968.54998779,106.45999908,1.000000
473973.05000305,5370968.23999023,106.45999908,1.000000
473973.44999695,5370967.91998291,106.48000336,1.000000
473973.66999817,5370967.61999512,105.38999939,1.000000
473974.07000732,5370967.29998779,105.36000061,2.000000
473974.50000000,5370966.98999023,105.54000092,1.000000
473974.91999817,5370966.66998291,105.61000061,1.000000
473975.36999512,5370966.34997559,105.83999634,1.000000
473975.77999878,5370966.03002930,105.87999725,1.000000
473976.19999695,5370965.71002197,105.98000336,1.000000
473976.63000488,5370965.39001465,106.11000061,1.000000
473977.08999634,5370965.07000732,106.43000031,1.000000
473977.58999634,5370964.75000000,106.98000336,1.000000
473978.10000610,5370964.42999268,107.62999725,1.000000
473975.32000732,5370964.58001709,106.01000214,1.000000
473974.88999939,5370964.90997314,105.94000244,1.000000
473974.41000366,5370965.23999023,105.66000366,1.000000
473973.97999573,5370965.57000732,105.63999939,1.000000
473973.52999878,5370965.90002441,105.44000244,1.000000
473973.07000732,5370966.23999023,105.23999786,1.000000
473972.63000488,5370966.57000732,105.15000153,1.000000
473972.27999878,5370966.89001465,105.52999878,1.000000
473971.75999451,5370967.21997070,105.02999878,1.000000
473971.42999268,5370967.53997803,105.54000092,1.000000
473970.94000244,5370967.86999512,105.13999939,1.000000
473970.49000549,5370968.20001221,104.97000122,1.000000
473970.08000183,5370968.52001953,105.00000000,1.000000
